               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.024928,             0.06576,          3.4073e-08,             0.94299,             0.90837,             0.95337,             0.62167,            0.019811,            0.053824,          3.4245e-08,            0.008977,            0.008977,            0.008977
                  64,            0.026493,            0.064819,          3.3978e-08,             0.94975,              0.9037,             0.96304,              0.5987,            0.020853,             0.05507,          3.3795e-08,           0.0089605,           0.0089605,           0.0089605
                  65,            0.024385,            0.060666,          3.3941e-08,             0.95131,             0.89523,             0.95547,             0.64688,            0.018973,            0.055386,          3.3839e-08,            0.008944,            0.008944,            0.008944
                  66,            0.025461,            0.064746,             3.4e-08,             0.94937,             0.88446,              0.9637,             0.62942,            0.019273,            0.053775,          3.3826e-08,           0.0089275,           0.0089275,           0.0089275
                  67,            0.024491,            0.064714,          3.3956e-08,             0.96457,             0.86773,             0.95631,             0.63531,            0.019272,            0.054459,           3.376e-08,            0.008911,            0.008911,            0.008911
                  68,             0.02548,            0.061184,          3.3907e-08,              0.9577,             0.90211,             0.96372,             0.60823,            0.020041,            0.054515,          3.4207e-08,           0.0088945,           0.0088945,           0.0088945
                  69,            0.024996,            0.060824,          3.4076e-08,             0.96088,             0.87849,             0.95728,             0.63942,             0.01897,            0.053318,          3.3982e-08,            0.008878,            0.008878,            0.008878
                  70,            0.025254,            0.062531,          3.4032e-08,             0.96937,             0.90637,             0.96257,             0.60968,            0.020116,            0.054407,          3.3848e-08,           0.0088615,           0.0088615,           0.0088615
                  71,            0.027148,            0.064842,          3.3867e-08,             0.95701,             0.88697,             0.95212,             0.61787,            0.020249,             0.05503,           3.413e-08,            0.008845,            0.008845,            0.008845
                  72,            0.025757,             0.06613,          3.3927e-08,             0.94985,             0.90546,              0.9614,             0.65405,            0.018733,            0.052754,          3.4129e-08,           0.0088285,           0.0088285,           0.0088285
                  73,            0.023181,            0.062059,          3.3973e-08,             0.95964,             0.90001,              0.9583,             0.66092,            0.018269,            0.051897,           3.391e-08,            0.008812,            0.008812,            0.008812
                  74,            0.025554,            0.066719,          3.3836e-08,              0.9682,             0.89044,             0.95336,             0.62015,            0.020176,            0.056445,          3.3747e-08,           0.0087955,           0.0087955,           0.0087955
                  75,            0.024338,            0.059089,          3.3911e-08,             0.95905,             0.88646,             0.95635,             0.62517,            0.019971,            0.055647,          3.3871e-08,            0.008779,            0.008779,            0.008779
                  76,            0.025599,            0.066522,          3.3992e-08,             0.96372,             0.88446,             0.95555,             0.64525,            0.019446,            0.055191,          3.3992e-08,           0.0087625,           0.0087625,           0.0087625
                  77,            0.025521,             0.06053,          3.4025e-08,             0.95722,             0.89243,             0.96008,             0.61858,            0.019716,             0.05407,          3.3993e-08,            0.008746,            0.008746,            0.008746
                  78,            0.026028,            0.065507,          3.4052e-08,             0.95742,             0.89587,             0.96122,             0.60085,            0.020805,            0.054459,          3.4285e-08,           0.0087295,           0.0087295,           0.0087295
                  79,             0.02491,            0.064085,           3.405e-08,             0.95524,             0.89442,             0.95829,             0.64657,            0.018835,             0.05319,          3.3925e-08,            0.008713,            0.008713,            0.008713
                  80,            0.024604,            0.060217,          3.3802e-08,             0.95735,             0.89429,             0.96153,             0.64214,            0.018966,             0.05149,          3.3811e-08,           0.0086965,           0.0086965,           0.0086965
                  81,            0.023889,            0.059225,          3.3701e-08,             0.96023,              0.8745,             0.95237,             0.61511,            0.019762,            0.055819,          3.3702e-08,             0.00868,             0.00868,             0.00868
                  82,            0.024781,            0.063756,           3.375e-08,             0.95688,             0.89641,             0.95658,             0.65065,            0.018741,            0.053256,          3.3872e-08,           0.0086635,           0.0086635,           0.0086635
                  83,            0.024016,            0.063205,          3.3835e-08,             0.95148,             0.89841,             0.96145,             0.65966,            0.018642,            0.051681,          3.4018e-08,            0.008647,            0.008647,            0.008647
                  84,            0.024108,            0.063008,          3.3921e-08,             0.95343,             0.89731,             0.96098,             0.62625,            0.019911,             0.05164,          3.4092e-08,           0.0086305,           0.0086305,           0.0086305
                  85,            0.025182,            0.064062,          3.3834e-08,             0.94447,             0.88089,              0.9534,             0.64175,            0.019381,            0.053036,          3.4007e-08,            0.008614,            0.008614,            0.008614
                  86,            0.025271,             0.06338,          3.3851e-08,             0.96096,             0.88262,              0.9534,             0.63125,            0.018949,            0.054051,          3.3731e-08,           0.0085975,           0.0085975,           0.0085975
                  87,            0.024554,            0.060611,          3.3704e-08,             0.95316,             0.89171,             0.96037,             0.60712,             0.02048,            0.051151,          3.3919e-08,            0.008581,            0.008581,            0.008581
                  88,            0.023304,            0.057628,          3.3811e-08,             0.95608,             0.88845,             0.95933,             0.66462,            0.018737,            0.053832,          3.3782e-08,           0.0085645,           0.0085645,           0.0085645
                  89,            0.023425,            0.056845,          3.3802e-08,             0.95798,             0.90824,              0.9619,             0.64845,            0.019169,            0.051012,          3.3885e-08,            0.008548,            0.008548,            0.008548
                  90,            0.022984,            0.058839,          3.3921e-08,             0.95861,             0.89841,             0.96276,             0.66335,            0.018414,             0.05088,          3.3752e-08,           0.0085315,           0.0085315,           0.0085315
                  91,            0.022825,            0.058773,          3.3859e-08,              0.9658,              0.9001,             0.96159,             0.67209,            0.018164,            0.051159,          3.3763e-08,            0.008515,            0.008515,            0.008515
                  92,             0.02386,            0.060305,          3.3789e-08,               0.955,             0.88768,             0.95857,             0.64815,            0.018692,            0.051842,          3.3859e-08,           0.0084985,           0.0084985,           0.0084985
                  93,            0.024652,            0.064056,          3.3802e-08,             0.95772,             0.89641,             0.96692,             0.65794,            0.018683,            0.049027,          3.3967e-08,            0.008482,            0.008482,            0.008482
                  94,             0.02451,            0.060581,          3.3913e-08,             0.95939,             0.89409,             0.96265,             0.63686,            0.019082,            0.054209,          3.4033e-08,           0.0084655,           0.0084655,           0.0084655
                  95,            0.024912,            0.062025,          3.3991e-08,             0.95573,             0.90837,             0.96664,             0.64256,            0.019218,            0.051952,          3.4251e-08,            0.008449,            0.008449,            0.008449
                  96,            0.022853,            0.058604,          3.4111e-08,             0.94676,             0.92231,             0.96822,             0.67578,            0.017775,            0.049781,          3.4162e-08,           0.0084325,           0.0084325,           0.0084325
